filename,artist,genre,description,phash,width,height,genre_count,subset,exists
Baroque/frans-hals_a-banquet-of-the-officers-of-the-st-george-militia-company-1616.jpg,Frans Hals,['Baroque'],a-banquet-of-the-officers-of-the-st-george-militia-company-1616,ab9c5b19bcc11e26,2652,1382,1,train,True
Post_Impressionism/suzanne-valadon_self-portrait-1918.jpg,Suzanne Valadon,['Post Impressionism'],self-portrait-1918,9a79e2ad71928e31,1382,2234,1,train,True
Art_Nouveau_Modern/nicholas-roerich_costume-devotion-of-fiery-furnace-before-christmas-liturgy-in-russian-orthodox-church-1907.jpg,Nicholas Roerich,['Art Nouveau Modern'],costume-devotion-of-fiery-furnace-before-christmas-liturgy-in-russian-orthodox-church-1907,9f12932798957e64,1382,1717,1,train,True
Impressionism/helene-schjerfbeck_girl-reading-1904.jpg,Helene Schjerfbeck,['Impressionism'],girl-reading-1904,bac0e57893c1392f,1382,1849,1,train,True
Romanticism/francisco-goya_sad-forebodings-of-what-is-to-come-1810.jpg,Francisco Goya,['Romanticism'],sad-forebodings-of-what-is-to-come-1810,d926709f903927ce,1693,1382,1,test,True
Realism/grigoriy-myasoyedov_the-burning-of-archpriest-avvakum-1897.jpg,Grigoriy Myasoyedov,['Realism'],the-burning-of-archpriest-avvakum-1897,f68bec91b7a44d01,2155,1382,1,test,True
Realism/boris-kustodiev_portrait-of-i-v-ershov-1922.jpg,Boris Kustodiev,['Realism'],portrait-of-i-v-ershov-1922,bebe91c1e38c8cc2,1382,1875,1,train,True
Baroque/rembrandt_a-small-lion-hunt-with-a-lioness-1641.jpg,Rembrandt,['Baroque'],a-small-lion-hunt-with-a-lioness-1641,bfc06397681cf03a,1382,1658,1,train,True
Impressionism/henri-martin_view-of-salute-in-venice.jpg,Henri Martin,['Impressionism'],view-of-salute-in-venice,d5a7a4ad1292cd39,1382,1641,1,train,True
Realism/james-tissot_an-old-cistern-1889.jpg,James Tissot,['Realism'],an-old-cistern-1889,f8978568cb31956a,1382,1709,1,train,True
Romanticism/viktor-vasnetsov_russian-bishops-1896.jpg,Viktor Vasnetsov,['Romanticism'],russian-bishops-1896,905f473c73c8378c,1382,1725,1,train,True
Early_Renaissance/sandro-botticelli_st-john-on-patmos-1492(1).jpg,Sandro Botticelli,['Early Renaissance'],st-john-on-patmos-1492(1),b998db6d4086f334,3735,1382,1,train,True
Romanticism/karl-bryullov_portrait-of-i-a-krylov.jpg,Karl Bryullov,['Romanticism'],portrait-of-i-a-krylov,99582666d88dda9b,1382,1663,1,train,True
Romanticism/dante-gabriel-rossetti_regina-cordium-1860.jpg,Dante Gabriel Rossetti,['Romanticism'],regina-cordium-1860,8d6fa2b059a334d6,1382,1624,1,test,True
Post_Impressionism/ilya-mashkov_still-life-1910.jpg,Ilya Mashkov,['Post Impressionism'],still-life-1910,9521cc8fbb44a799,2146,1382,1,train,True
